agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
TRANSFER AGENT,0,0,-40470.0,-10.245569620253164,3950.0,3950.0
TRANSFER AGENT,0,1,-63578.0,-8.48,6675.0,2725.0
TRANSFER AGENT,0,2,-64510.0,-1.4427244582043344,7321.0,646.0
TRANSFER AGENT,0,3,-64447.0,0.2571428571428571,7566.0,245.0
TRANSFER AGENT,0,4,-66607.0,-4.426229508196721,8054.0,488.0
TRANSFER AGENT,0,5,-69668.0,-3.423937360178971,8948.0,894.0
TRANSFER AGENT,0,6,-71441.0,-3.567404426559356,9445.0,497.0
TRANSFER AGENT,0,7,-82743.0,-3.7711044377711045,12442.0,2997.0
TRANSFER AGENT,0,8,-83087.0,-0.7577092511013216,12896.0,454.0
TRANSFER AGENT,0,9,-84157.0,-2.197125256673511,13383.0,487.0
TRANSFER AGENT,0,10,-104618.0,-9.06959219858156,15639.0,2256.0
TRANSFER AGENT,0,11,-111317.0,-5.745283018867925,16805.0,1166.0
TRANSFER AGENT,0,12,-111744.0,-1.2595870206489677,17144.0,339.0
TRANSFER AGENT,0,13,-123918.0,-4.902939991945227,19627.0,2483.0
TRANSFER AGENT,0,14,-124925.0,-1.9254302103250478,20150.0,523.0
TRANSFER AGENT,0,15,-161880.0,-8.223186470850022,24644.0,4494.0
TRANSFER AGENT,0,16,-176793.0,-4.099230346344145,28282.0,3638.0
TRANSFER AGENT,0,17,-218506.0,-5.237037037037037,36247.0,7965.0
TRANSFER AGENT,0,18,-219092.0,-1.176706827309237,36745.0,498.0
TRANSFER AGENT,0,19,-238489.0,-4.7740585774058575,40808.0,4063.0
TRANSFER AGENT,0,20,-245795.0,-9.330779054916986,41591.0,783.0
TRANSFER AGENT,0,21,-257011.0,-5.0568079350766455,43809.0,2218.0
TRANSFER AGENT,0,22,-267361.0,-6.276531231049121,45458.0,1649.0
TRANSFER AGENT,0,23,-267256.0,0.5172413793103449,45661.0,203.0
TRANSFER AGENT,0,24,-269746.0,-5.900473933649289,46083.0,422.0
TRANSFER AGENT,0,25,-269539.0,1.035,46283.0,200.0
TRANSFER AGENT,0,26,-283560.0,-7.558490566037736,48138.0,1855.0
TRANSFER AGENT,0,27,-295864.0,-14.806257521058965,48969.0,831.0
TRANSFER AGENT,0,28,-303475.0,-9.621997471554995,49760.0,791.0
TRANSFER AGENT,0,29,-306469.0,-4.112637362637362,50488.0,728.0
TRANSFER AGENT,0,30,-307615.0,-3.1397260273972605,50853.0,365.0
TRANSFER AGENT,0,31,-316383.0,-10.20721769499418,51712.0,859.0
TRANSFER AGENT,0,32,-321298.0,-8.62280701754386,52282.0,570.0
TRANSFER AGENT,0,33,-330535.0,-5.357888631090487,54006.0,1724.0
TRANSFER AGENT,0,34,-343062.0,-4.576909024479357,56743.0,2737.0
TRANSFER AGENT,0,35,-361309.0,-10.577971014492753,58468.0,1725.0
TRANSFER AGENT,0,36,-372359.0,-4.513888888888889,60916.0,2448.0
TRANSFER AGENT,0,37,-375782.0,-2.958513396715644,62073.0,1157.0
TRANSFER AGENT,0,38,-375222.0,3.888888888888889,62217.0,144.0
TRANSFER AGENT,0,39,-380179.0,-4.477868112014454,63324.0,1107.0
TRANSFER AGENT,0,40,-385289.0,-3.760117733627667,64683.0,1359.0
TRANSFER AGENT,0,41,-386218.0,-1.7077205882352942,65227.0,544.0
TRANSFER AGENT,0,42,-386780.0,-1.1856540084388185,65701.0,474.0
TRANSFER AGENT,0,43,-391532.0,-5.917808219178082,66504.0,803.0
TRANSFER AGENT,0,44,-394541.0,-4.672360248447205,67148.0,644.0
TRANSFER AGENT,0,45,-395789.0,-2.6723768736616704,67615.0,467.0
TRANSFER AGENT,0,46,-404349.0,-4.007490636704119,69751.0,2136.0
TRANSFER AGENT,0,47,-406575.0,-2.9601063829787235,70503.0,752.0
TRANSFER AGENT,0,48,-417877.0,-3.7711044377711045,73500.0,2997.0
TRANSFER AGENT,0,49,-423768.0,-4.370178041543027,74848.0,1348.0
TRANSFER AGENT,0,50,-427510.0,-9.669250645994833,75235.0,387.0
TRANSFER AGENT,0,51,-427192.0,1.6914893617021276,75423.0,188.0
TRANSFER AGENT,0,52,-429548.0,-4.847736625514403,75909.0,486.0
TRANSFER AGENT,0,53,-432794.0,-4.752562225475842,76592.0,683.0
TRANSFER AGENT,0,54,-449524.0,-4.554859787639532,80265.0,3673.0
TRANSFER AGENT,0,55,-455330.0,-4.987972508591065,81429.0,1164.0
TRANSFER AGENT,0,56,-458192.0,-4.117985611510791,82124.0,695.0
TRANSFER AGENT,0,57,-459878.0,-2.773026315789474,82732.0,608.0
TRANSFER AGENT,0,58,-460000.0,-0.5258620689655172,82964.0,232.0
TRANSFER AGENT,0,59,-466183.0,-9.512307692307692,83614.0,650.0
TRANSFER AGENT,0,60,-486407.0,-13.270341207349082,85138.0,1524.0
TRANSFER AGENT,0,61,-488130.0,-4.9511494252873565,85486.0,348.0
TRANSFER AGENT,0,62,-490043.0,-2.291017964071856,86321.0,835.0
TRANSFER AGENT,0,63,-491764.0,-2.6765163297045103,86964.0,643.0
TRANSFER AGENT,0,64,-491908.0,-0.40793201133144474,87317.0,353.0
TRANSFER AGENT,0,65,-491783.0,0.4432624113475177,87599.0,282.0
TRANSFER AGENT,0,66,-492100.0,-0.7423887587822015,88026.0,427.0
TRANSFER AGENT,0,67,-495779.0,-5.1097222222222225,88746.0,720.0
TRANSFER AGENT,0,68,-498353.0,-6.324324324324325,89153.0,407.0
TRANSFER AGENT,0,69,-505612.0,-6.412544169611308,90285.0,1132.0
TRANSFER AGENT,0,70,-505823.0,-0.6573208722741433,90606.0,321.0
TRANSFER AGENT,0,71,-509328.0,-10.07183908045977,90954.0,348.0
TRANSFER AGENT,0,72,-522773.0,-17.149234693877553,91738.0,784.0
TRANSFER AGENT,0,73,-523624.0,-2.318801089918256,92105.0,367.0
TRANSFER AGENT,0,74,-527509.0,-5.336538461538462,92833.0,728.0
TRANSFER AGENT,0,75,-531137.0,-4.723958333333333,93601.0,768.0
TRANSFER AGENT,0,76,-550226.0,-11.38961813842482,95277.0,1676.0
TRANSFER AGENT,0,77,-552253.0,-3.1088957055214723,95929.0,652.0
TRANSFER AGENT,0,78,-551895.0,2.418918918918919,96077.0,148.0
TRANSFER AGENT,0,79,-553203.0,-2.4819734345351043,96604.0,527.0
TRANSFER AGENT,0,80,-559986.0,-7.117523609653725,97557.0,953.0
TRANSFER AGENT,0,81,-561968.0,-2.462111801242236,98362.0,805.0
TRANSFER AGENT,0,82,-563253.0,-4.199346405228758,98668.0,306.0
TRANSFER AGENT,0,83,-563102.0,0.58984375,98924.0,256.0
TRANSFER AGENT,0,84,-566358.0,-4.111111111111111,99716.0,792.0
TRANSFER AGENT,0,85,-568054.0,-5.283489096573208,100037.0,321.0
TRANSFER AGENT,0,86,-568894.0,-1.516245487364621,100591.0,554.0
TRANSFER AGENT,0,87,-568766.0,0.45878136200716846,100870.0,279.0
TRANSFER AGENT,0,88,-573145.0,-3.8993766696349064,101993.0,1123.0
TRANSFER AGENT,0,89,-580385.0,-5.522501906941266,103304.0,1311.0
TRANSFER AGENT,0,90,-582483.0,-9.201754385964913,103532.0,228.0
TRANSFER AGENT,0,91,-589648.0,-3.5330374753451674,105560.0,2028.0
TRANSFER AGENT,0,92,-598061.0,-5.2812303829252984,107153.0,1593.0
TRANSFER AGENT,0,93,-603685.0,-4.397185301016419,108432.0,1279.0
TRANSFER AGENT,0,94,-610548.0,-5.575142160844842,109663.0,1231.0
TRANSFER AGENT,0,95,-620957.0,-6.469235550031075,111272.0,1609.0
TRANSFER AGENT,0,96,-629813.0,-19.5929203539823,111724.0,452.0
TRANSFER AGENT,0,97,-665246.0,-22.34110970996217,113310.0,1586.0
TRANSFER AGENT,0,98,-667818.0,-6.350617283950617,113715.0,405.0
TRANSFER AGENT,0,99,-667533.0,1.2895927601809956,113936.0,221.0
TRANSFER AGENT,0,100,-669130.0,-2.5841423948220066,114554.0,618.0
TRANSFER AGENT,0,101,-668753.0,1.6535087719298245,114782.0,228.0
TRANSFER AGENT,0,102,-669856.0,-2.619952494061758,115203.0,421.0
TRANSFER AGENT,0,103,-674173.0,-11.730978260869565,115571.0,368.0
TRANSFER AGENT,0,104,-683277.0,-4.364333652924257,117657.0,2086.0
TRANSFER AGENT,0,105,-688998.0,-8.37628111273792,118340.0,683.0
TRANSFER AGENT,0,106,-696648.0,-5.773584905660377,119665.0,1325.0
TRANSFER AGENT,0,107,-700299.0,-4.615676359039191,120456.0,791.0
TRANSFER AGENT,0,108,-705128.0,-4.479591836734694,121534.0,1078.0
TRANSFER AGENT,0,109,-708073.0,-3.7853470437017993,122312.0,778.0
TRANSFER AGENT,0,110,-709064.0,-2.428921568627451,122720.0,408.0
TRANSFER AGENT,0,111,-714120.0,-3.3639387890884898,124223.0,1503.0
TRANSFER AGENT,0,112,-718513.0,-5.9284750337381915,124964.0,741.0
TRANSFER AGENT,0,113,-720936.0,-5.3370044052863435,125418.0,454.0
TRANSFER AGENT,0,114,-727824.0,-3.9337521416333523,127169.0,1751.0
TRANSFER AGENT,0,115,-730297.0,-8.081699346405228,127475.0,306.0
TRANSFER AGENT,0,116,-738581.0,-8.549019607843137,128444.0,969.0
TRANSFER AGENT,0,117,-740200.0,-4.720116618075802,128787.0,343.0
TRANSFER AGENT,0,118,-765171.0,-8.04737350950693,131890.0,3103.0
TRANSFER AGENT,0,119,-772216.0,-21.743827160493826,132214.0,324.0
TRANSFER AGENT,0,120,-772276.0,-0.35294117647058826,132384.0,170.0
TRANSFER AGENT,0,121,-776266.0,-11.804733727810651,132722.0,338.0
TRANSFER AGENT,0,122,-791837.0,-13.804078014184396,133850.0,1128.0
TRANSFER AGENT,0,123,-798164.0,-4.254875588433086,135337.0,1487.0
TRANSFER AGENT,0,124,-801743.0,-4.977746870653686,136056.0,719.0
TRANSFER AGENT,0,125,-805825.0,-12.332326283987916,136387.0,331.0
TRANSFER AGENT,0,126,-810835.0,-5.805330243337196,137250.0,863.0
TRANSFER AGENT,0,127,-812551.0,-3.9,137690.0,440.0
TRANSFER AGENT,0,128,-816684.0,-4.234631147540983,138666.0,976.0
TRANSFER AGENT,0,129,-817031.0,-1.3397683397683398,138925.0,259.0
TRANSFER AGENT,0,130,-823884.0,-15.974358974358974,139354.0,429.0
TRANSFER AGENT,0,131,-831316.0,-6.7136404697380305,140461.0,1107.0
TRANSFER AGENT,0,132,-838781.0,-13.672161172161172,141007.0,546.0
TRANSFER AGENT,0,133,-842610.0,-4.966277561608301,141778.0,771.0
TRANSFER AGENT,0,134,-844915.0,-6.8601190476190474,142114.0,336.0
TRANSFER AGENT,0,135,-845144.0,-0.9541666666666667,142354.0,240.0
TRANSFER AGENT,0,136,-854309.0,-7.296974522292993,143610.0,1256.0
TRANSFER AGENT,0,137,-866162.0,-7.110377924415117,145277.0,1667.0
TRANSFER AGENT,0,138,-870402.0,-3.072463768115942,146657.0,1380.0
TRANSFER AGENT,0,139,-881162.0,-18.745644599303137,147231.0,574.0
