agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
SOURCE AGENT,0,0,-3769.0,-5.30098452883263,711.0,711.0
SOURCE AGENT,0,1,-3849.0,-0.2768166089965398,1000.0,289.0
SOURCE AGENT,0,2,-5093.0,-4.694339622641509,1265.0,265.0
SOURCE AGENT,0,3,-8606.0,-4.1280846063454755,2116.0,851.0
SOURCE AGENT,0,4,-8760.0,-0.5833333333333334,2380.0,264.0
SOURCE AGENT,0,5,-8179.0,4.723577235772358,2503.0,123.0
SOURCE AGENT,0,6,-21265.0,-4.843079200592154,5205.0,2702.0
SOURCE AGENT,0,7,-25000.0,-3.4808946877912397,6278.0,1073.0
SOURCE AGENT,0,8,-24608.0,1.84037558685446,6491.0,213.0
SOURCE AGENT,0,9,-26091.0,-2.9424603174603177,6995.0,504.0
SOURCE AGENT,0,10,-26241.0,-0.4178272980501393,7354.0,359.0
SOURCE AGENT,0,11,-26321.0,-0.2768166089965398,7643.0,289.0
SOURCE AGENT,0,12,-46021.0,-11.636148848198465,9336.0,1693.0
SOURCE AGENT,0,13,-50044.0,-3.781015037593985,10400.0,1064.0
SOURCE AGENT,0,14,-50121.0,-0.2692307692307692,10686.0,286.0
SOURCE AGENT,0,15,-57046.0,-5.355761794276876,11979.0,1293.0
SOURCE AGENT,0,16,-57063.0,-0.0752212389380531,12205.0,226.0
SOURCE AGENT,0,17,-57077.0,-0.06278026905829596,12428.0,223.0
SOURCE AGENT,0,18,-58092.0,-1.911487758945386,12959.0,531.0
SOURCE AGENT,0,19,-63165.0,-3.133415688696726,14578.0,1619.0
SOURCE AGENT,0,20,-63520.0,-1.3295880149812733,14845.0,267.0
SOURCE AGENT,0,21,-68310.0,-3.5853293413173652,16181.0,1336.0
SOURCE AGENT,0,22,-68786.0,-1.2268041237113403,16569.0,388.0
SOURCE AGENT,0,23,-68241.0,3.4276729559748427,16728.0,159.0
SOURCE AGENT,0,24,-70640.0,-3.299862448418157,17455.0,727.0
SOURCE AGENT,0,25,-71447.0,-1.5489443378119,17976.0,521.0
SOURCE AGENT,0,26,-75777.0,-3.691389599317988,19149.0,1173.0
SOURCE AGENT,0,27,-75095.0,5.636363636363637,19270.0,121.0
SOURCE AGENT,0,28,-79706.0,-4.358223062381852,20328.0,1058.0
SOURCE AGENT,0,29,-79962.0,-0.6994535519125683,20694.0,366.0
SOURCE AGENT,0,30,-83072.0,-3.2979851537645812,21637.0,943.0
SOURCE AGENT,0,31,-82727.0,1.3269230769230769,21897.0,260.0
SOURCE AGENT,0,32,-82871.0,-0.5669291338582677,22151.0,254.0
SOURCE AGENT,0,33,-85495.0,-2.4966698382492862,23202.0,1051.0
SOURCE AGENT,0,34,-84802.0,6.3,23312.0,110.0
SOURCE AGENT,0,35,-85360.0,-1.1872340425531915,23782.0,470.0
SOURCE AGENT,0,36,-87431.0,-2.6050314465408806,24577.0,795.0
SOURCE AGENT,0,37,-87175.0,1.024,24827.0,250.0
SOURCE AGENT,0,38,-86365.0,8.804347826086957,24919.0,92.0
SOURCE AGENT,0,39,-98174.0,-4.354351032448378,27631.0,2712.0
SOURCE AGENT,0,40,-100835.0,-8.989864864864865,27927.0,296.0
SOURCE AGENT,0,41,-104940.0,-3.0543154761904763,29271.0,1344.0
SOURCE AGENT,0,42,-104904.0,0.20809248554913296,29444.0,173.0
SOURCE AGENT,0,43,-106833.0,-2.9540581929555896,30097.0,653.0
SOURCE AGENT,0,44,-110393.0,-3.570712136409228,31094.0,997.0
SOURCE AGENT,0,45,-114266.0,-4.237417943107221,32008.0,914.0
SOURCE AGENT,0,46,-114973.0,-1.3596153846153847,32528.0,520.0
SOURCE AGENT,0,47,-114602.0,2.748148148148148,32663.0,135.0
SOURCE AGENT,0,48,-132269.0,-4.750470556601237,36382.0,3719.0
SOURCE AGENT,0,49,-133259.0,-1.6363636363636365,36987.0,605.0
SOURCE AGENT,0,50,-132766.0,4.401785714285714,37099.0,112.0
SOURCE AGENT,0,51,-135260.0,-3.4495159059474414,37822.0,723.0
SOURCE AGENT,0,52,-139076.0,-3.045490822027135,39075.0,1253.0
SOURCE AGENT,0,53,-142473.0,-5.341194968553459,39711.0,636.0
SOURCE AGENT,0,54,-142085.0,1.7880184331797235,39928.0,217.0
SOURCE AGENT,0,55,-143259.0,-2.386178861788618,40420.0,492.0
SOURCE AGENT,0,56,-144960.0,-3.24618320610687,40944.0,524.0
SOURCE AGENT,0,57,-145511.0,-2.079245283018868,41209.0,265.0
SOURCE AGENT,0,58,-149367.0,-12.726072607260726,41512.0,303.0
SOURCE AGENT,0,59,-157230.0,-3.110363924050633,44040.0,2528.0
SOURCE AGENT,0,60,-159579.0,-3.4697193500738552,44717.0,677.0
SOURCE AGENT,0,61,-160523.0,-1.6887298747763864,45276.0,559.0
SOURCE AGENT,0,62,-164339.0,-5.790591805766312,45935.0,659.0
SOURCE AGENT,0,63,-167031.0,-2.9229098805646037,46856.0,921.0
SOURCE AGENT,0,64,-167423.0,-0.9727047146401985,47259.0,403.0
SOURCE AGENT,0,65,-167075.0,2.2025316455696204,47417.0,158.0
SOURCE AGENT,0,66,-166536.0,3.2666666666666666,47582.0,165.0
SOURCE AGENT,0,67,-169275.0,-2.8295454545454546,48550.0,968.0
SOURCE AGENT,0,68,-168966.0,3.1530612244897958,48648.0,98.0
SOURCE AGENT,0,69,-170686.0,-2.6791277258566977,49290.0,642.0
SOURCE AGENT,0,70,-171605.0,-1.7209737827715357,49824.0,534.0
SOURCE AGENT,0,71,-173552.0,-2.240506329113924,50693.0,869.0
SOURCE AGENT,0,72,-173562.0,-0.045662100456621,50912.0,219.0
SOURCE AGENT,0,73,-173031.0,3.069364161849711,51085.0,173.0
SOURCE AGENT,0,74,-175793.0,-2.7870837537840565,52076.0,991.0
SOURCE AGENT,0,75,-178798.0,-2.647577092511013,53211.0,1135.0
SOURCE AGENT,0,76,-181595.0,-4.43968253968254,53841.0,630.0
SOURCE AGENT,0,77,-181674.0,-0.41798941798941797,54030.0,189.0
SOURCE AGENT,0,78,-183105.0,-2.2015384615384614,54680.0,650.0
SOURCE AGENT,0,79,-183203.0,-0.47115384615384615,54888.0,208.0
SOURCE AGENT,0,80,-182942.0,1.0653061224489795,55133.0,245.0
SOURCE AGENT,0,81,-182247.0,6.435185185185185,55241.0,108.0
SOURCE AGENT,0,82,-182232.0,0.051194539249146756,55534.0,293.0
SOURCE AGENT,0,83,-184467.0,-3.9698046181172293,56097.0,563.0
SOURCE AGENT,0,84,-183778.0,6.043859649122807,56211.0,114.0
SOURCE AGENT,0,85,-184865.0,-5.251207729468599,56418.0,207.0
SOURCE AGENT,0,86,-186336.0,-5.003401360544218,56712.0,294.0
SOURCE AGENT,0,87,-186891.0,-1.5081521739130435,57080.0,368.0
